"title","year","length","budget","rating","votes","mpaa"
"3-Way",2004,88,NA,4.6,177,"R"
"30 Years to Life",2001,110,NA,5.1,42,"R"
"3000 Miles to Graceland",2001,125,62000000,5.4,7298,"R"
"40 Days and 40 Nights",2002,96,17000000,5.4,8609,"R"
"4th Floor, The",1999,90,NA,5.7,1088,"R"
"4th Tenor, The",2002,97,NA,4.2,71,"PG-13"
"50 First Dates",2004,99,75000000,6.8,13497,"PG-13"
"51st State, The",2001,92,28000000,6.1,6752,"R"
"54",1998,100,13000000,5.4,6905,"R"
"5x2",2004,90,NA,6.6,691,"R"
"6th Day, The",2000,123,82000000,5.9,12064,"PG-13"
"8 Heads in a Duffel Bag",1997,94,NA,4.8,2076,"R"
"8 Mile",2002,110,41000000,6.8,17900,"R"
"8 femmes",2002,111,NA,7.1,5503,"R"
"800 balas",2002,124,NA,6.5,404,"R"
"8MM",1999,123,40000000,5.9,18541,"R"
"A.k.a. Cassius Clay",1970,85,NA,5.7,43,"PG"
"AKA",2002,123,NA,6,335,"R"
"AVP: Alien Vs. Predator",2004,102,45000000,5.4,14651,"PG-13"
"Abandon",2002,99,25000000,4.7,2364,"PG-13"
"Abendland",1999,146,NA,5,46,"R"
"Aberration",1997,93,NA,4.8,149,"R"
"Abilene",1999,104,NA,4.9,42,"PG"
"Ablaze",2001,97,NA,3.6,98,"R"
"Abominable Dr. Phibes, The",1971,94,NA,6.7,1547,"PG-13"
"About Adam",2000,105,NA,6.4,1303,"R"
"About Schmidt",2002,125,30000000,7.3,23279,"R"
"About a Boy",2002,101,27000000,7.5,18318,"PG-13"
"Above Suspicion",1995,95,NA,6.4,394,"R"
"Above Suspicion",2000,92,NA,5.8,128,"R"
"Abre los ojos",1997,117,NA,7.8,8087,"R"
"Absolon",2003,96,8000000,4.1,548,"R"
"Absolute Power",1997,121,50000000,6.4,7995,"R"
"Abuelo, El",1998,147,NA,7.7,423,"PG"
"Abyss, The",1989,171,69500000,7.4,21987,"PG-13"
"Access Denied",1997,95,NA,3.8,43,"R"
"According to Spencer",2001,95,NA,4.1,124,"R"
"Ace Ventura: Pet Detective",1994,86,12000000,6.2,20705,"PG-13"
"Ace Ventura: When Nature Calls",1995,90,30000000,4.9,15161,"PG-13"
"Achilles' Love",2000,90,NA,4.4,20,"PG"
"Action League Now!!: Rock-A-Big-Baby",1997,5,NA,2.8,26,"PG"
"Active Stealth",1999,99,NA,3,146,"R"
"Actors, The",2003,91,NA,5.6,211,"R"
"Acts of Worship",2001,94,NA,6.2,43,"R"
"Adam & Evil",2004,90,NA,3.4,81,"R"
"Adam at 6 A.M.",1970,100,NA,5.8,61,"R"
"Adaptation.",2002,114,19000000,7.9,25140,"R"
"Addicted to Love",1997,100,NA,6,5445,"R"
"Address Unknown",1997,92,NA,4.9,80,"PG"
"Adrenalin: Fear the Rush",1996,88,NA,3.5,664,"R"
"Adventures of Pluto Nash, The",2002,95,100000000,3.9,2543,"PG-13"
"Adventures of Robin Hood, The",1938,102,1900000,8.2,7359,"PG"
"Adventures of Rocky & Bullwinkle, The",2000,88,76000000,4.3,4815,"PG"
"Adventures of Sebastian Cole, The",1998,99,NA,6.5,579,"R"
"Affair of the Necklace, The",2001,118,NA,6,963,"R"
"Affliction",1997,114,6000000,6.9,3679,"R"
"After Alice",1999,100,NA,5.3,446,"R"
"After Image",2001,92,1200000,3.9,60,"R"
"After the Sunset",2004,97,58000000,6,3431,"PG-13"
"Afterglow",1997,113,NA,6.1,1169,"R"
"Against the Ropes",2004,111,NA,5.2,1058,"PG-13"
"Agent Cody Banks",2003,102,26000000,5.5,2655,"PG"
"Agent Cody Banks 2: Destination London",2004,100,26000000,3.8,919,"PG"
"Agnes Browne",1999,92,NA,6,572,"R"
"Agronomist, The",2003,90,NA,7.3,146,"PG-13"
"Ai no borei",1978,104,NA,6.3,230,"R"
"Aileen Wuornos: The Selling of a Serial Killer",1992,87,NA,7,180,"R"
"Aileen: Life and Death of a Serial Killer",2003,89,NA,7.2,430,"R"
"Air Bud",1997,98,3000000,4.7,1276,"PG"
"Air Force One",1997,124,85000000,6.3,26156,"R"
"Air Marshal",2003,90,500000,3,81,"R"
"Airheads",1994,92,NA,5.5,6105,"PG-13"
"Airspeed",1998,93,NA,3,386,"PG"
"Akira",1988,124,NA,7.7,14840,"R"
"Alamo, The",2004,137,95000000,5.9,3060,"PG-13"
"Alan Smithee Film: Burn Hollywood Burn, An",1997,86,10000000,3.2,1262,"R"
"Alaska",1996,109,NA,5.6,891,"PG"
"Albino Alligator",1996,97,5000000,6,2077,"R"
"Alex & Emma",2003,96,NA,5.3,2176,"PG-13"
"Alex in Wonder",2001,96,NA,6.3,30,"R"
"Alexander",2004,175,150000000,5.5,11254,"R"
"Alferd Packer: The Musical",1996,97,125000,7,2298,"R"
"Alfie",2004,103,60000000,6,3492,"R"
"Ali",2001,165,107000000,6.4,9294,"R"
"Ali G Indahouse",2002,88,NA,5.8,4496,"R"
"Alice et Martin",1998,124,NA,6.4,604,"R"
"Alien",1979,116,11000000,8.3,63400,"R"
"Alien Abduction",2005,90,600000,1.9,73,"R"
"Alien Escape",1997,85,1000000,5.6,23,"R"
"Alien Hunter",2003,92,NA,5,563,"R"
"Alien: Resurrection",1997,116,70000000,6,24358,"R"
"Aliens",1986,154,18500000,8.3,63961,"R"
"Aliens in the Wild Wild West",1999,90,NA,2.9,58,"PG"
"Alive",2004,85,NA,3.9,32,"R"
"All About You",2001,100,NA,6.2,30,"PG"
"All About the Benjamins",2002,95,14000000,5.4,1250,"R"
"All Babes Want to Kill Me",2004,82,NA,8.1,47,"PG-13"
"All Forgotten",2000,106,NA,4.5,139,"PG-13"
"All New Adventures of Laurel & Hardy: For Love or Mummy, The",1999,85,NA,3.1,112,"PG"
"All Night Bodega",2002,90,NA,5.7,24,"R"
"All Over Me",1997,90,NA,6.9,600,"R"
"All Over the Guy",2001,95,NA,6.4,1039,"R"
"All the Little Animals",1998,112,NA,6.6,289,"R"
"All the Pretty Horses",2000,116,45000000,5.6,3133,"PG-13"
"All the Queen's Men",2001,105,25000000,5,353,"PG-13"
"All the Rage",1999,99,NA,5.7,670,"R"
"All the Real Girls",2003,108,1000000,6.8,1745,"R"
"Allyson Is Watching",1997,90,NA,4.7,105,"R"
"Almost Famous",2000,162,60000000,8,38648,"R"
"Almost Heroes",1998,90,NA,4.5,1944,"PG-13"
"Almost Salinas",2001,92,NA,6.4,81,"PG"
"Alone",2002,110,NA,4.6,232,"R"
"Alone in the Dark",2005,96,20000000,2.1,2880,"R"
"Alone in the Woods",1996,92,NA,3.6,48,"PG"
"Alone with a Stranger",2000,90,NA,5.3,60,"R"
"Along Came Polly",2004,90,42000000,5.8,9785,"PG-13"
"Along Came a Spider",2001,104,28000000,6.1,9456,"R"
"Altered Species",2001,91,NA,2.7,80,"R"
"Amadeus",1984,180,18000000,8.3,36955,"R"
"Amandla! A Revolution In Four Part Harmony",2002,108,NA,7.3,162,"PG-13"
"Amant, L'",1992,111,NA,6.5,2046,"R"
"Amants du Pont-Neuf, Les",1991,125,NA,7.4,1564,"R"
"Amar te duele",2002,104,NA,7.1,102,"R"
"Amati Girls, The",2000,91,NA,3.4,161,"PG"
"Amazing Panda Adventure, The",1995,81,NA,5.5,304,"PG"
"Amazons and Gladiators",2001,89,NA,4,233,"R"
"America's Sweethearts",2001,102,48000000,5.8,11849,"PG-13"
"American Adobo",2001,104,NA,4.3,78,"R"
"American Beauty",1999,121,15000000,8.5,109991,"R"
"American Chai",2001,92,NA,6.1,148,"R"
"American Dragons",1998,91,NA,4.3,173,"R"
"American Gun",2002,89,NA,6,267,"R"
"American History X",1998,119,10000000,8.4,59677,"R"
"American Movie: The Making of Northwestern",1999,107,NA,7.5,3421,"R"
"American Outlaws",2001,94,35000000,5.5,2878,"PG-13"
"American Perfekt",1997,100,NA,5.9,433,"R"
"American Pie",1999,95,11000000,6.8,41126,"R"
"American Pie 2",2001,105,30000000,6.3,22752,"R"
"American President, The",1995,114,62000000,6.9,11834,"PG-13"
"American Psycho",2000,102,8000000,6.8,21639,"R"
"American Rhapsody, An",2001,106,NA,7,732,"PG-13"
"American Splendor",2003,101,NA,7.8,8530,"R"
"American Strays",1996,97,NA,5.2,238,"R"
"American Vampire Story, An",1997,99,NA,2.1,149,"PG-13"
"American Virgin",2000,88,NA,3.7,506,"R"
"American Wedding",2003,103,55000000,6.3,13590,"R"
"American Werewolf in Paris, An",1997,105,22000000,5,4302,"R"
"Amistad",1997,152,40000000,7,10543,"R"
"Amityville Horror, The",2005,90,18000000,5.8,2945,"R"
"Among Giants",1998,93,NA,5.4,334,"R"
"Amores perros",2000,153,2000000,8.2,15079,"R"
"Amy",1998,104,NA,7,252,"PG-13"
"Amy's Orgasm",2001,87,NA,5.3,519,"R"
"Anacondas: The Hunt for the Blood Orchid",2004,97,25000000,4.2,2258,"PG-13"
"Analyze That",2002,96,NA,5.5,6863,"R"
"Analyze This",1999,109,30000000,6.6,24521,"R"
"Anarchist Cookbook, The",2002,101,NA,5.5,318,"R"
"Anarchy TV",1998,87,NA,4.7,84,"R"
"Anatomie",2000,103,NA,6.1,2501,"R"
"Anatomie 2",2003,101,NA,5.5,582,"R"
"Anazahevun",2000,132,NA,6.1,211,"R"
"Anchorman: The Legend of Ron Burgundy",2004,104,26000000,6.5,11553,"PG-13"
"Ancient Evil: Scream of the Mummy",2000,96,NA,1.9,276,"R"
"Ancient Warriors",2001,93,NA,3.8,42,"R"
"And Now... Ladies and Gentlemen...",2002,122,NA,5.8,413,"PG-13"
"Andromina: The Pleasure Planet",1999,92,NA,3.4,62,"R"
"Angel Eyes",2001,102,38000000,5.6,4829,"R"
"Angel Unchained",1970,92,NA,4.7,39,"PG-13"
"Angel's Dance",1999,101,NA,5.8,333,"R"
"Angela",2002,91,NA,5.8,79,"R"
"Angels & Insects",1995,116,NA,6.9,1357,"R"
"Angels in the Attic",1998,86,NA,5.4,73,"PG"
"Anger Management",2003,106,75000000,6,14280,"PG-13"
"Anglaise et le duc, L'",2001,125,NA,6.8,604,"PG-13"
"Angus",1995,90,NA,6.3,1419,"PG-13"
"Animal Factory",2000,94,NA,6.5,2118,"R"
"Animal Instincts III",1996,96,NA,3.7,99,"R"
"Animal Room",1995,98,NA,5.4,70,"R"
"Animal, The",2001,84,22000000,4.8,5605,"R"
"Animatrix: Final Flight of the Osiris, The",2003,11,5000000,7.6,1536,"PG-13"
"Anna Karenina",1997,108,NA,5.6,706,"PG-13"
"Anna and the King",1999,148,75000000,6.6,6739,"PG-13"
"Annihilation of Fish, The",1999,108,NA,5.5,47,"R"
"Anniversary Party, The",2001,115,NA,6.4,3057,"R"
"Another Day in Paradise",1998,101,NA,6.3,1872,"R"
"Antitrust",2001,108,30000000,6,7326,"PG-13"
"Antonia",1995,102,NA,7.4,2320,"R"
"Antwone Fisher",2002,117,12500000,7.4,4472,"PG-13"
"Antz",1998,83,60000000,7,16312,"PG"
"Any Given Sunday",1999,156,62000000,6.4,19531,"R"
"Anything Else",2003,108,18000000,6.5,3678,"R"
"Anywhere But Here",1999,114,23000000,5.9,4007,"PG-13"
"Apocalypse Now",1979,202,31500000,8.5,64785,"R"
"Apocalypse, The",1997,96,NA,2.5,106,"R"
"Apollo 13",1995,140,62000000,7.5,41098,"PG"
"Apostle, The",1997,134,5000000,7.2,4231,"PG-13"
"Appetite",1998,97,NA,4.4,52,"R"
"Apt Pupil",1998,112,14000000,6.4,6728,"R"
"Aquanoids",2003,78,NA,2.2,46,"R"
"Arachnid",2001,102,NA,3.6,444,"R"
"Ararat",2002,115,NA,7.1,3594,"R"
"Are We There Yet?",2005,95,32000000,3.5,1043,"PG"
"Arena, The",2001,92,NA,2.8,119,"R"
"Arlington Road",1999,117,21500000,7.1,17189,"R"
"Armageddon",1998,153,140000000,5.7,45330,"PG-13"
"Armstrong",1998,99,NA,3.2,75,"R"
"Army of Darkness",1993,96,11000000,7.4,22118,"R"
"Around the Bend",2004,85,NA,6,388,"R"
"Around the Fire",1999,106,1200000,5.3,254,"R"
"Around the World in 80 Days",2004,120,110000000,5.7,3887,"PG"
"Arranged Marriage",1996,88,NA,3.4,20,"R"
"Arrival, The",1996,115,NA,6,4723,"PG-13"
"Art Heist",2004,98,NA,3.8,59,"R"
"Art House",1998,93,NA,5.4,104,"R"
"Art of Revenge",2003,88,NA,4.6,51,"R"
"Arte de morir, El",2000,102,NA,6,305,"R"
"Artificial Intelligence: AI",2001,146,90000000,6.8,36623,"PG-13"
"Artworks",2003,96,NA,6.1,68,"R"
"Aryan Couple, The",2004,120,NA,7.4,13,"PG-13"
"As Good as It Gets",1997,139,50000000,7.7,47441,"PG-13"
"Ash Wednesday",2002,98,NA,5.5,625,"R"
"Asoka",2001,169,NA,6.5,555,"R"
"Assassination Tango",2002,114,NA,6.1,611,"R"
"Assassination of Richard Nixon, The",2004,95,NA,7.1,1624,"R"
"Assassins",1995,132,50000000,5.7,7354,"R"
"Assault on Precinct 13",2005,109,20000000,6.3,2960,"R"
"Associate, The",1996,114,NA,5.5,1341,"PG-13"
"Astoria",2000,103,NA,4.7,17,"R"
"Astronaut's Wife, The",1999,109,34000000,4.8,7253,"R"
"Asunder",1998,101,NA,4.3,69,"R"
"Asylum Days",2001,100,NA,4.7,21,"R"
"At First Sight",1999,128,40000000,5.7,3441,"PG-13"
"At Sachem Farm",1998,106,NA,5.9,164,"PG"
"Atanarjuat",2001,168,NA,7.3,1921,"R"
"Atlantis: The Lost Empire",2001,95,90000000,6.4,6323,"PG"
"Attack of the 60 Foot Centerfold",1995,84,NA,3.5,175,"R"
"Attic Expeditions, The",2001,100,1000000,5.4,384,"R"
"Auberge espagnole, L'",2002,117,NA,7.3,4273,"R"
"Auggie Rose",2000,109,NA,6.3,367,"R"
"August",1996,94,NA,5.2,154,"PG"
"Aurora: Operation Intercept",1995,94,NA,2.7,80,"R"
"Austin Powers in Goldmember",2002,94,63000000,6.2,22870,"PG-13"
"Austin Powers: International Man of Mystery",1997,94,17000000,7,33755,"PG-13"
"Austin Powers: The Spy Who Shagged Me",1999,95,33000000,6.5,37019,"PG-13"
"Auto Focus",2002,105,7000000,6.7,3276,"R"
"Autumn in New York",2000,103,40000000,4.7,3731,"PG-13"
"Avalanche",1999,109,NA,3.7,126,"PG-13"
"Avalon",2001,106,8000000,6.8,2723,"R"
"Avengers, The",1998,89,60000000,3.4,11499,"PG-13"
"Avenging Angelo",2002,96,NA,4.6,877,"R"
"Aviator, The",2004,170,116000000,7.5,16217,"PG-13"
"Awakening of Gabriella, The",1999,93,NA,3.5,53,"R"
"Awfully Big Adventure, An",1995,112,4000000,5.8,608,"R"
"B*A*P*S",1997,91,NA,3.5,572,"PG-13"
"B. Monkey",1998,93,NA,6.1,833,"R"
"BASEketball",1998,103,NA,6.1,7096,"R"
"Ba wang bie ji",1993,171,NA,7.7,3098,"R"
"Baby Boy",2001,130,16000000,6.2,1476,"R"
"Baby Face Nelson",1995,93,NA,4.7,60,"R"
"Baby Geniuses",1999,97,13000000,2.4,3142,"PG"
"Baby Take a Bow",1934,76,NA,5.8,98,"PG"
"Baby-Sitters Club, The",1995,90,NA,5,607,"PG"
"Babymother",1998,82,NA,3.1,29,"R"
"Babysitter, The",1995,90,NA,4.1,879,"R"
"Bachelor, The",1999,101,21000000,5,4183,"PG-13"
"BachelorMan",2003,87,NA,5.1,101,"R"
"Back Lot Murders, The",2002,90,NA,3.7,119,"R"
"Back in Business",1997,93,NA,4.1,93,"R"
"Back of Beyond",1995,85,NA,5.2,67,"R"
"Back to Even",1998,89,NA,3.9,40,"R"
"Backdraft",1991,132,NA,6.6,12637,"R"
"Backfire!",1995,93,NA,3.2,79,"PG-13"
"Backstage",2000,86,NA,5,57,"R"
"Backyard Dogs",2000,96,NA,1.9,1304,"R"
"Bad Boys",1995,118,23000000,6.4,15326,"R"
"Bad Boys II",2003,145,130000000,6.1,13087,"R"
"Bad City Blues",1999,96,NA,4.6,36,"R"
"Bad Company",2002,116,70000000,5.4,6175,"PG-13"
"Bad Day On the Block",1997,104,NA,4.8,356,"R"
"Bad Faith",2000,97,NA,4.7,41,"R"
"Bad Karma",2002,92,NA,4,174,"R"
"Bad Manners",1997,88,NA,6.3,140,"R"
"Bad Moon",1996,80,7000000,4.4,519,"R"
"Bad Santa",2003,98,18000000,7.2,11189,"R"
"Badge, The",2002,103,6000000,6.3,740,"R"
"Bai ga jai",1982,100,NA,7.7,278,"R"
"Bait",2000,119,35000000,5.6,1884,"R"
"Balance of Power",1996,92,NA,4.3,63,"R"
"Ball in the House",2001,95,NA,5.8,63,"R"
"Ballad of Jack and Rose, The",2005,112,1500000,6.2,269,"R"
"Ballad of Ramblin' Jack, The",2000,112,NA,7.9,108,"PG-13"
"Ballistic: Ecks vs. Sever",2002,91,70000000,3.4,4556,"R"
"Bamboozled",2000,135,10000000,6.3,2356,"R"
"Bananas",1971,82,2000000,7.1,4252,"PG-13"
"Bandits",1997,110,NA,6.3,1065,"R"
"Bandits",2001,123,80000000,6.7,12382,"PG-13"
"Bandolero!",1968,106,NA,6.3,598,"PG-13"
"Banger Sisters, The",2002,98,10000000,5.6,3189,"R"
"Bangkok Dangerous",1999,105,NA,6.5,651,"R"
"Baptists at Our Barbecue",2004,92,500000,5.9,62,"PG"
"Bar Girls",1994,93,NA,5.4,215,"R"
"Baran",2001,94,NA,7.8,733,"PG"
"Barbershop",2002,102,12000000,6.6,4943,"PG-13"
"Barbershop 2: Back in Business",2004,106,18000000,5.7,1580,"PG-13"
"Bark!",2002,100,NA,4.3,198,"R"
"Bartleby",2001,83,NA,6.1,434,"PG-13"
"Basic",2003,98,50000000,6.2,8370,"R"
"Basic Instinct",1992,128,49000000,6.7,19520,"R"
"Basil",1998,113,10000000,6.1,367,"R"
"Basket, The",1999,105,3000000,6.3,200,"PG"
"Basketball Diaries, The",1995,102,NA,6.6,6280,"R"
"Basquiat",1996,108,NA,6.6,3126,"R"
"Bastard Out of Carolina",1996,97,NA,7.4,805,"R"
"Batman & Robin",1997,125,110000000,3.6,28457,"PG-13"
"Batman Forever",1995,122,100000000,5.4,24025,"PG-13"
"Battle of Shaker Heights, The",2003,90,1000000,6,854,"PG-13"
"BattleQueen 2020",2001,95,NA,2.9,116,"R"
"Battlefield Earth: A Saga of the Year 3000",2000,119,73000000,2.4,14970,"PG-13"
"Baxter, The",2005,91,NA,9.1,19,"PG-13"
"Be Cool",2005,118,53000000,5.5,4560,"PG-13"
"Beach, The",2000,119,50000000,5.8,15020,"R"
"Bean",1997,90,22000000,5.4,9018,"PG-13"
"Beat",2000,93,NA,5.3,279,"R"
"Beautician and the Beast, The",1997,118,NA,4.9,1213,"PG"
"Beautiful",2000,112,9000000,5.3,991,"PG-13"
"Beautiful Country, The",2004,137,6000000,6.9,115,"R"
"Beautiful Creatures",2000,86,NA,5.8,706,"R"
"Beautiful Girls",1996,112,NA,7.1,7452,"R"
"Beautiful Joe",2000,98,NA,5.7,524,"R"
"Beautiful Mind, A",2001,135,60000000,7.8,43291,"PG-13"
"Beautiful People",1999,107,NA,7,906,"R"
"Beautiful Thing",1996,90,NA,7.5,4409,"R"
"Beauty Shop",2005,104,NA,4.6,518,"PG-13"
"Beavis and Butt-Head Do America",1996,81,12000000,6.2,9491,"PG-13"
"Because of Winn-Dixie",2005,106,14000000,5.9,483,"PG"
"Bed of Roses",1996,87,NA,5.9,2049,"PG"
"Bedazzled",2000,93,48000000,5.9,11439,"PG-13"
"Beeper",2002,94,NA,5.3,39,"R"
"Before Night Falls",2000,133,NA,7.2,3608,"R"
"Before Sunset",2004,80,10000000,8.3,8789,"R"
"Behind Enemy Lines",2001,106,40000000,6.1,10856,"PG-13"
"Behind the Red Door",2002,105,NA,7,336,"R"
"Being Julia",2004,104,18000000,7.2,1671,"R"
"Believer, The",2001,98,NA,7.3,3327,"R"
"Bella Martha",2001,109,NA,7.4,1585,"PG"
"Belly",1998,96,10000000,4.5,1034,"R"
"Belly of the Beast",2003,91,18000000,4.2,638,"R"
"Beloved",1998,172,53000000,5.6,1934,"R"
"Below",2002,105,NA,6.3,3175,"R"
"Below Utopia",1997,83,NA,4.7,256,"R"
"Bend It Like Beckham",2002,115,NA,7.3,14437,"PG-13"
"Beneath Loch Ness",2001,96,NA,2.7,233,"PG-13"
"Benji: Off the Leash!",2004,97,NA,4.7,93,"PG"
"Bent",1997,108,NA,6.8,854,"R"
"Beowulf",1999,99,20000000,3.7,2058,"R"
"Bereft",2004,98,NA,6,37,"R"
"Besieged",1998,93,NA,6.7,995,"R"
"Best Laid Plans",1999,92,7000000,6.3,1795,"R"
"Best Man in Grass Creek",1999,88,NA,5.7,69,"PG"
"Best Thief in the World, The",2004,93,NA,2.7,113,"R"
"Best Two Years, The",2003,112,NA,7,174,"PG"
"Best in Show",2000,90,6000000,7.5,11790,"PG-13"
"Best of the Best 3: No Turning Back",1995,90,NA,4.4,255,"R"
"Best of the Best: Without Warning",1999,90,NA,4.3,96,"R"
"Betaville",2001,99,NA,5.2,5,"PG-13"
"Better Luck Tomorrow",2002,98,250000,7.3,2697,"R"
"Better Than Chocolate",1999,102,NA,6.3,1513,"R"
"Better Than Sex",2000,80,NA,6.3,527,"R"
"Better Way to Die, A",2000,97,NA,5.6,458,"R"
"Between Strangers",2002,95,NA,6.1,204,"R"
"Between the Lies",1997,90,NA,3,20,"R"
"Beverly Hills Ninja",1997,88,NA,4.7,3468,"PG-13"
"Beware: Children at Play",1989,94,NA,3.2,125,"R"
"Beyond Bedlam",1993,89,NA,3.3,165,"R"
"Beyond Borders",2003,127,35000000,5.4,1905,"R"
"Beyond Desire",1996,87,NA,4.6,92,"R"
"Beyond Paradise",1998,105,NA,5,41,"PG-13"
"Beyond Rangoon",1995,100,23000000,6.4,1285,"R"
"Beyond Re-Animator",2003,96,3000000,6.1,908,"R"
"Beyond the City Limits",2001,91,NA,4.5,219,"R"
"Beyond the Gates of Splendor",2005,96,NA,8.9,15,"PG-13"
"Beyond the Mat",1999,108,500000,7.3,2243,"R"
"Beyond the Sea",2004,118,24000000,6.7,1051,"PG-13"
"Bhaji on the Beach",1993,100,NA,6.6,275,"R"
"Bi xie lan tian",1998,96,NA,5.5,136,"R"
"Bicentennial Man",1999,132,100000000,6.2,8925,"PG"
"Big Ain't Bad",2002,118,NA,5.9,15,"R"
"Big Bad Love",2001,111,NA,5.6,189,"R"
"Big Bounce, The",2004,88,50000000,4.7,2505,"PG-13"
"Big Brass Ring, The",1999,104,7000000,5.4,271,"R"
"Big Bully",1996,90,15000000,4.2,781,"PG"
"Big Daddy",1999,93,34200000,5.9,18258,"PG-13"
"Big Eden",2000,117,NA,7.4,842,"PG-13"
"Big Empty, The",2003,94,NA,5.9,696,"R"
"Big Fall, The",1996,90,NA,4.1,34,"R"
"Big Fat Liar",2002,88,15000000,5.5,2453,"PG"
"Big Fish",2003,125,70000000,8.1,31525,"PG-13"
"Big Green, The",1995,100,NA,4.6,610,"PG"
"Big Hit, The",1998,91,13000000,5.7,6206,"R"
"Big Jake",1971,110,NA,6.6,1139,"PG-13"
"Big Kahuna, The",1999,90,NA,6.6,3724,"R"
"Big Lebowski, The",1998,117,15000000,8,50179,"R"
"Big Momma's House",2000,98,30000000,4.7,7509,"PG-13"
"Big Night",1996,107,NA,7.3,4563,"R"
"Big One, The",1997,91,NA,7.5,2395,"PG-13"
"Big Red One, The",1980,158,NA,7.1,1838,"R"
"Big Squeeze, The",1996,98,NA,4.8,105,"R"
"Big Tease, The",1999,86,4000000,6.1,670,"R"
"Big Time",2004,29,NA,7.8,14,"R"
"Big Trouble",2002,85,40000000,6.4,4088,"PG-13"
"Bigfoot: The Unforgettable Encounter",1994,88,NA,3.5,67,"PG"
"Bigger Than the Sky",2005,106,750000,7.3,32,"PG-13"
"Biggie and Tupac",2002,108,NA,6.9,465,"R"
"Bike Squad, The",2002,79,NA,3,44,"PG"
"Biker Boyz",2003,110,NA,4,1580,"PG-13"
"Bikini Bistro",1995,85,NA,2.4,246,"R"
"Bikini Drive-In",1995,86,NA,3.7,123,"R"
"Bikini Summer III: South Beach Heat",1997,87,NA,3.3,55,"R"
"Billabong Odyssey",2003,87,NA,5.8,81,"PG"
"Billy Elliot",2000,110,5000000,7.7,16725,"R"
"Billy Madison",1995,89,NA,6.1,11626,"PG-13"
"Billy's Holiday",1995,92,NA,4.2,68,"R"
"Billy's Hollywood Screen Kiss",1998,92,NA,6.5,1129,"R"
"Bimbo Movie Bash",1997,90,NA,2.5,93,"R"
"Bin-jip",2004,95,NA,8,886,"R"
"Bio-Dome",1996,91,NA,3.7,4310,"PG-13"
"Bird of Prey",1995,105,NA,4.3,42,"R"
"Birdcage, The",1996,117,NA,6.5,12429,"R"
"Birth",2004,100,20000000,6,2600,"R"
"Birthday Girl",2001,93,13000000,6.1,5340,"R"
"Bizita Q",2001,84,NA,7.1,1327,"R"
"Black Cadillac",2003,93,NA,5.7,346,"R"
"Black Circle Boys",1997,101,NA,4,284,"R"
"Black Day Blue Night",1995,93,NA,5.8,166,"R"
"Black Dog",1998,89,NA,4.7,1374,"PG-13"
"Black Friday",2000,95,NA,3.2,59,"R"
"Black Hawk Down",2001,142,90000000,7.6,32530,"R"
"Black Knight",2001,95,50000000,4.1,3822,"PG-13"
"Black Magic, The",2002,91,NA,7.4,11,"R"
"Black Out",1996,98,NA,4.5,70,"R"
"Black Point",2001,100,NA,5.1,127,"R"
"Black Rose of Harlem",1996,87,NA,3.8,23,"R"
